Время;Просмотрено роликов
2017-04-17 00:00:00 - 2017-04-17 23:59:59;1
2017-04-18 00:00:00 - 2017-04-18 23:59:59;0
2017-04-19 00:00:00 - 2017-04-19 23:59:59;1
2017-04-20 00:00:00 - 2017-04-20 23:59:59;0
2017-04-21 00:00:00 - 2017-04-21 23:59:59;0
2017-04-22 00:00:00 - 2017-04-22 23:59:59;0
2017-04-23 00:00:00 - 2017-04-23 23:59:59;0
2017-04-24 00:00:00 - 2017-04-24 23:59:59;0
2017-04-25 00:00:00 - 2017-04-25 23:59:59;0
2017-04-26 00:00:00 - 2017-04-26 23:59:59;0
2017-04-27 00:00:00 - 2017-04-27 23:59:59;0
2017-04-28 00:00:00 - 2017-04-28 23:59:59;0
2017-04-29 00:00:00 - 2017-04-29 23:59:59;0
2017-04-30 00:00:00 - 2017-04-30 23:59:59;0
2017-05-01 00:00:00 - 2017-05-01 23:59:59;1
2017-05-02 00:00:00 - 2017-05-02 23:59:59;0
2017-05-03 00:00:00 - 2017-05-03 23:59:59;0
2017-05-04 00:00:00 - 2017-05-04 23:59:59;0
2017-05-05 00:00:00 - 2017-05-05 23:59:59;0
2017-05-06 00:00:00 - 2017-05-06 23:59:59;1
2017-05-07 00:00:00 - 2017-05-07 23:59:59;0
2017-05-08 00:00:00 - 2017-05-08 23:59:59;1
2017-05-09 00:00:00 - 2017-05-09 23:59:59;0
2017-05-10 00:00:00 - 2017-05-10 23:59:59;0
2017-05-11 00:00:00 - 2017-05-11 23:59:59;0
2017-05-12 00:00:00 - 2017-05-12 23:59:59;0
2017-05-13 00:00:00 - 2017-05-13 23:59:59;0
2017-05-14 00:00:00 - 2017-05-14 23:59:59;0
2017-05-15 00:00:00 - 2017-05-15 23:59:59;0
2017-05-16 00:00:00 - 2017-05-16 23:59:59;1
2017-05-17 00:00:00 - 2017-05-17 23:59:59;0
2017-05-18 00:00:00 - 2017-05-18 23:59:59;2
2017-05-19 00:00:00 - 2017-05-19 23:59:59;0
2017-05-20 00:00:00 - 2017-05-20 23:59:59;0
